Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Mois,Statut,Budget dépensé (€),Conversions (achats),Revenu estimé (€),ROAS,Coût par conversion (€),Impressions,Clics,Taux de clic (%),Date de lancement
Créa Image statique Omega-3 - Alex,Omega-3,Alex Johnson,Image statique,Testimonial,Boostez votre immunité,Septembre 2025,En pause,1967.50,77,5135.18,2.61,25.55,117217,2520,2.15,2025-09-04
Créa Image statique Abonnement - Pierre,Abonnement,Pierre Moreau,Image statique,Valeur,Ne manquez jamais votre dose,Novembre 2025,En ligne,1866.83,34,5021.77,2.69,54.91,140550,3556,2.53,2025-11-14
Créa Motion/Vidéo Shaker - Sophie,Shaker,Sophie Martin,Motion/Vidéo,Santé,Le meilleur rapport qualité-prix,Septembre 2025,Archivée,2683.95,64,4213.80,1.57,41.94,105333,3339,3.17,2025-09-16
Créa Podcast Shaker - Dr.,Shaker,Dr. Michael Lee,Podcast,Éducation,Le meilleur rapport qualité-prix,Juillet 2025,Archivée,1780.37,57,3578.54,2.01,31.23,167515,5243,3.13,2025-07-11
Créa Témoignage Bundle Complet - Alex,Bundle Complet,Alex Johnson,Témoignage,Convenience,Le meilleur rapport qualité-prix,Octobre 2025,Archivée,1340.39,128,3806.71,2.84,10.47,274450,10841,3.95,2025-10-19
Créa Témoignage Omega-3 - Pierre,Omega-3,Pierre Moreau,Témoignage,Éducation,L'importance d'un bon mélange,Juillet 2025,Archivée,1566.23,36,2615.60,1.67,43.51,216002,5314,2.46,2025-07-03
Créa Témoignage Bundle Complet - Sophie,Bundle Complet,Sophie Martin,Témoignage,Valeur,Le meilleur rapport qualité-prix,Septembre 2025,Archivée,1572.56,39,2044.33,1.30,40.32,298793,6334,2.12,2025-09-19
Créa Podcast AG1 Powder - Dr.,AG1 Powder,Dr. James Smith,Podcast,Valeur,Essentiel en hiver,Septembre 2025,Archivée,2652.14,93,2068.67,0.78,28.52,105109,2523,2.40,2025-09-26
Créa Image statique Omega-3 - Tom,Omega-3,Tom Brown,Image statique,Testimonial,Boostez votre immunité,Juillet 2025,En ligne,1419.74,60,3237.01,2.28,23.66,122352,4197,3.43,2025-07-17
Créa UGC Shaker - Marie,Shaker,Marie Dubois,UGC,Convenience,Ne manquez jamais votre dose,Septembre 2025,Arrêtée,1030.06,53,1864.41,1.81,19.44,232087,5617,2.42,2025-09-05
Créa UGC Bundle Complet - Laura,Bundle Complet,Laura Davis,UGC,Convenience,Ma transformation en 2 mois,Novembre 2025,En ligne,2785.70,22,7716.39,2.77,126.62,228313,5731,2.51,2025-11-01
Créa Podcast Abonnement - David,Abonnement,David Chen,Podcast,Santé,Ma transformation en 2 mois,Juillet 2025,En pause,2335.33,139,5044.31,2.16,16.80,115752,4491,3.88,2025-07-25
Créa UGC Vitamine D3+K2 - Paul,Vitamine D3+K2,Paul Martinez,UGC,Éducation,Ma transformation en 2 mois,Septembre 2025,Archivée,2603.09,87,7627.05,2.93,29.92,145562,4527,3.11,2025-09-07
Créa Motion/Vidéo AG1 Powder - Lisa,AG1 Powder,Lisa Garcia,Motion/Vidéo,Testimonial,Mon expérience avec Omega-3,Août 2025,En pause,2981.84,27,2266.20,0.76,110.44,166581,5414,3.25,2025-08-15
Créa Témoignage Abonnement - Sophie,Abonnement,Sophie Martin,Témoignage,Convenience,Parfait pour voyager,Août 2025,En pause,624.76,25,362.36,0.58,24.99,120498,2735,2.27,2025-08-27
Créa Image statique Abonnement - David,Abonnement,David Chen,Image statique,Santé,Mon expérience avec Omega-3,Septembre 2025,En ligne,2902.43,51,8184.85,2.82,56.91,59899,1557,2.60,2025-09-14
Créa Image statique Vitamine D3+K2 - Julie,Vitamine D3+K2,Julie Bernard,Image statique,Accessoire,Mon cœur me remercie,Novembre 2025,Arrêtée,1299.30,72,3066.35,2.36,18.05,126354,4245,3.36,2025-11-10
Créa Témoignage Shaker - Claire,Shaker,Claire Anderson,Témoignage,Accessoire,Économisez avec le bundle,Octobre 2025,En pause,2993.02,20,5806.46,1.94,149.65,118709,3870,3.26,2025-10-13
Créa Motion/Vidéo Vitamine D3+K2 - Pierre,Vitamine D3+K2,Pierre Moreau,Motion/Vidéo,Valeur,Ne manquez jamais votre dose,Novembre 2025,Arrêtée,852.90,117,2174.90,2.55,7.29,73328,2691,3.67,2025-11-07
Créa Témoignage Omega-3 - Claire,Omega-3,Claire Anderson,Témoignage,Accessoire,Le shaker qui change tout,Octobre 2025,Archivée,929.74,89,2398.73,2.58,10.45,246868,7455,3.02,2025-10-27
Créa Podcast Abonnement - David,Abonnement,David Chen,Podcast,Éducation,Le shaker qui change tout,Septembre 2025,En ligne,2410.11,49,2337.81,0.97,49.19,234291,5951,2.54,2025-09-27
Créa Témoignage Bundle Complet - Lisa,Bundle Complet,Lisa Garcia,Témoignage,Accessoire,Parfait pour voyager,Novembre 2025,Archivée,1130.75,54,3030.41,2.68,20.94,73919,1907,2.58,2025-11-05
Créa UGC Bundle Complet - Claire,Bundle Complet,Claire Anderson,UGC,Accessoire,Pourquoi les nutritionnistes recommandent AG1,Juillet 2025,Arrêtée,1948.23,127,2610.63,1.34,15.34,174870,6225,3.56,2025-07-23
Créa Motion/Vidéo AG1 Travel Packs - Laura,AG1 Travel Packs,Laura Davis,Motion/Vidéo,Éducation,Essentiel en hiver,Septembre 2025,Archivée,2528.60,44,4652.62,1.84,57.47,242905,6607,2.72,2025-09-01
Créa Image statique Shaker - Tom,Shaker,Tom Brown,Image statique,Accessoire,Je bois AG1 depuis 3 mois,Juillet 2025,En ligne,860.85,20,2685.85,3.12,43.04,262987,5444,2.07,2025-07-09
Créa UGC Omega-3 - Alex,Omega-3,Alex Johnson,UGC,Santé,Le shaker qui change tout,Novembre 2025,Arrêtée,2866.49,117,5360.34,1.87,24.50,257180,9207,3.58,2025-11-12
Créa Témoignage Omega-3 - Camille,Omega-3,Camille Rousseau,Témoignage,Testimonial,Mon cœur me remercie,Août 2025,En pause,1887.76,75,2699.50,1.43,25.17,198481,4128,2.08,2025-08-06
Créa Podcast AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. Robert White,Podcast,Santé,N'oubliez plus jamais,Juillet 2025,En pause,1942.77,104,5750.60,2.96,18.68,181026,7114,3.93,2025-07-13
Créa Image statique AG1 Powder - Lisa,AG1 Powder,Lisa Garcia,Image statique,Testimonial,Pourquoi les nutritionnistes recommandent AG1,Juillet 2025,Arrêtée,1767.63,146,1290.37,0.73,12.11,94057,3377,3.59,2025-07-10
Créa Motion/Vidéo Bundle Complet - Pierre,Bundle Complet,Pierre Moreau,Motion/Vidéo,Testimonial,Économisez avec le bundle,Octobre 2025,En pause,891.03,84,2058.28,2.31,10.61,143914,5181,3.60,2025-10-23
Créa Image statique AG1 Powder - Pierre,AG1 Powder,Pierre Moreau,Image statique,Valeur,N'oubliez plus jamais,Octobre 2025,Archivée,1055.52,75,3525.44,3.34,14.07,181193,6016,3.32,2025-10-04
Créa UGC Abonnement - Marc,Abonnement,Marc Petit,UGC,Testimonial,Le meilleur rapport qualité-prix,Août 2025,Arrêtée,1062.47,68,1827.45,1.72,15.62,118892,4732,3.98,2025-08-16
Créa UGC AG1 Powder - Kevin,AG1 Powder,Kevin Taylor,UGC,Santé,Mon cœur me remercie,Octobre 2025,En pause,1336.38,53,1135.92,0.85,25.21,151664,5384,3.55,2025-10-22
Créa UGC Bundle Complet - Dr.,Bundle Complet,Dr. James Smith,UGC,Testimonial,Pourquoi les nutritionnistes recommandent AG1,Novembre 2025,En pause,908.92,37,708.96,0.78,24.57,186055,5358,2.88,2025-11-08
Créa UGC Bundle Complet - Julie,Bundle Complet,Julie Bernard,UGC,Éducation,Parfait pour voyager,Novembre 2025,Arrêtée,923.34,106,1292.68,1.40,8.71,280949,9833,3.50,2025-11-25
Créa UGC AG1 Powder - Lisa,AG1 Powder,Lisa Garcia,UGC,Accessoire,Emportez AG1 partout,Août 2025,En pause,1792.96,100,3191.47,1.78,17.93,95383,3377,3.54,2025-08-11
Créa Motion/Vidéo Shaker - Dr.,Shaker,Dr. Robert White,Motion/Vidéo,Accessoire,L'importance d'un bon mélange,Septembre 2025,En ligne,1517.56,21,4446.45,2.93,72.26,271172,5857,2.16,2025-09-02
Créa Podcast AG1 Travel Packs - Emma,AG1 Travel Packs,Emma Wilson,Podcast,Testimonial,Le shaker qui change tout,Novembre 2025,Arrêtée,729.60,93,547.20,0.75,7.85,250771,5968,2.38,2025-11-21
Créa Motion/Vidéo AG1 Travel Packs - Marie,AG1 Travel Packs,Marie Dubois,Motion/Vidéo,Testimonial,Ne manquez jamais votre dose,Août 2025,En ligne,2411.85,114,7766.16,3.22,21.16,297681,10508,3.53,2025-08-14
Créa UGC Abonnement - Dr.,Abonnement,Dr. Michael Lee,UGC,Testimonial,Ma transformation en 2 mois,Juillet 2025,Archivée,2893.76,98,4543.20,1.57,29.53,296148,11135,3.76,2025-07-21
Créa Motion/Vidéo Bundle Complet - Marie,Bundle Complet,Marie Dubois,Motion/Vidéo,Accessoire,Le meilleur rapport qualité-prix,Septembre 2025,En pause,650.34,136,455.24,0.70,4.78,119106,3347,2.81,2025-09-21
Créa Motion/Vidéo Abonnement - Dr.,Abonnement,Dr. Michael Lee,Motion/Vidéo,Santé,Mon expérience avec Omega-3,Octobre 2025,En ligne,2410.84,47,5279.74,2.19,51.29,148402,4096,2.76,2025-10-01
Créa Motion/Vidéo AG1 Travel Packs - Alex,AG1 Travel Packs,Alex Johnson,Motion/Vidéo,Valeur,Essentiel en hiver,Septembre 2025,En pause,513.85,82,894.10,1.74,6.27,199096,4261,2.14,2025-09-25
Créa Motion/Vidéo Bundle Complet - Dr.,Bundle Complet,Dr. James Smith,Motion/Vidéo,Valeur,L'importance d'un bon mélange,Octobre 2025,En pause,712.74,84,684.23,0.96,8.49,111207,2736,2.46,2025-10-11
Créa Podcast Omega-3 - Emma,Omega-3,Emma Wilson,Podcast,Santé,Économisez avec le bundle,Août 2025,Arrêtée,1833.53,51,5078.88,2.77,35.95,276004,8363,3.03,2025-08-01
Créa Témoignage Omega-3 - Dr.,Omega-3,Dr. Michael Lee,Témoignage,Convenience,Mon expérience avec Omega-3,Juillet 2025,En ligne,2141.37,37,1755.92,0.82,57.87,126912,4036,3.18,2025-07-11
Créa Témoignage Vitamine D3+K2 - Marc,Vitamine D3+K2,Marc Petit,Témoignage,Éducation,Le meilleur rapport qualité-prix,Juillet 2025,Archivée,911.79,105,3182.15,3.49,8.68,66093,2564,3.88,2025-07-10
Créa Motion/Vidéo Omega-3 - Julie,Omega-3,Julie Bernard,Motion/Vidéo,Santé,Essentiel en hiver,Octobre 2025,Arrêtée,2261.44,64,2125.75,0.94,35.34,241366,6782,2.81,2025-10-13
Créa UGC Omega-3 - David,Omega-3,David Chen,UGC,Testimonial,Boostez votre immunité,Septembre 2025,Archivée,1341.16,93,4077.13,3.04,14.42,185049,6588,3.56,2025-09-06
Créa Témoignage AG1 Powder - Claire,AG1 Powder,Claire Anderson,Témoignage,Accessoire,Le shaker qui change tout,Septembre 2025,Archivée,2151.14,103,3786.01,1.76,20.88,116135,4576,3.94,2025-09-02
Créa Image statique AG1 Powder - Dr.,AG1 Powder,Dr. Robert White,Image statique,Santé,Le meilleur rapport qualité-prix,Octobre 2025,Archivée,550.11,129,1540.31,2.80,4.26,76995,2348,3.05,2025-10-13
Créa Image statique Shaker - Paul,Shaker,Paul Martinez,Image statique,Convenience,Emportez AG1 partout,Août 2025,En pause,2023.02,124,6858.04,3.39,16.31,58538,1844,3.15,2025-08-23
Créa Podcast Omega-3 - Sophie,Omega-3,Sophie Martin,Podcast,Valeur,Le meilleur rapport qualité-prix,Août 2025,Archivée,574.93,116,1328.09,2.31,4.96,230637,7588,3.29,2025-08-04
Créa Podcast Omega-3 - Alex,Omega-3,Alex Johnson,Podcast,Valeur,L'importance d'un bon mélange,Septembre 2025,En pause,1144.02,112,1704.59,1.49,10.21,170169,5258,3.09,2025-09-22
Créa UGC AG1 Powder - Pierre,AG1 Powder,Pierre Moreau,UGC,Accessoire,Je bois AG1 depuis 3 mois,Septembre 2025,En pause,2641.63,98,7872.06,2.98,26.96,231380,9070,3.92,2025-09-11
Créa Témoignage Bundle Complet - Marc,Bundle Complet,Marc Petit,Témoignage,Convenience,Je bois AG1 depuis 3 mois,Octobre 2025,Archivée,2994.26,40,6707.14,2.24,74.86,132717,5282,3.98,2025-10-15
Créa UGC Bundle Complet - Julie,Bundle Complet,Julie Bernard,UGC,Accessoire,Ne manquez jamais votre dose,Novembre 2025,En pause,582.13,50,727.66,1.25,11.64,205700,7467,3.63,2025-11-25
Créa Témoignage Bundle Complet - Tom,Bundle Complet,Tom Brown,Témoignage,Valeur,Économisez avec le bundle,Octobre 2025,En ligne,2251.76,62,1688.82,0.75,36.32,219943,7654,3.48,2025-10-14
Créa Image statique Bundle Complet - Marc,Bundle Complet,Marc Petit,Image statique,Convenience,Essentiel en hiver,Septembre 2025,En ligne,2761.54,49,4998.39,1.81,56.36,130935,2776,2.12,2025-09-26
Créa Image statique Omega-3 - Sarah,Omega-3,Sarah Martin,Image statique,Convenience,Le meilleur rapport qualité-prix,Novembre 2025,Archivée,1561.04,81,4121.15,2.64,19.27,231898,6261,2.70,2025-11-05
Créa Motion/Vidéo Omega-3 - Kevin,Omega-3,Kevin Taylor,Motion/Vidéo,Convenience,Parfait pour voyager,Juillet 2025,Archivée,598.25,21,939.25,1.57,28.49,139014,4615,3.32,2025-07-18
Créa Témoignage Abonnement - Kevin,Abonnement,Kevin Taylor,Témoignage,Santé,Ne manquez jamais votre dose,Octobre 2025,Archivée,1406.06,57,1293.58,0.92,24.67,66445,1847,2.78,2025-10-27
Créa Podcast Abonnement - Sophie,Abonnement,Sophie Martin,Podcast,Valeur,Boostez votre immunité,Juillet 2025,En ligne,2182.90,31,1571.69,0.72,70.42,195495,5298,2.71,2025-07-21
Créa Témoignage AG1 Travel Packs - David,AG1 Travel Packs,David Chen,Témoignage,Convenience,Le meilleur rapport qualité-prix,Novembre 2025,Archivée,2700.57,54,8047.70,2.98,50.01,155335,3588,2.31,2025-11-15
Créa Motion/Vidéo AG1 Travel Packs - Camille,AG1 Travel Packs,Camille Rousseau,Motion/Vidéo,Accessoire,Ne manquez jamais votre dose,Août 2025,En ligne,2180.42,81,3488.67,1.60,26.92,256504,9722,3.79,2025-08-15
Créa Podcast Omega-3 - David,Omega-3,David Chen,Podcast,Santé,Le meilleur rapport qualité-prix,Octobre 2025,Archivée,1951.38,114,2224.57,1.14,17.12,67364,2095,3.11,2025-10-06
Créa UGC Omega-3 - Anna,Omega-3,Anna Schmidt,UGC,Accessoire,Pourquoi les nutritionnistes recommandent AG1,Août 2025,En pause,1591.64,17,5172.83,3.25,93.63,155707,3161,2.03,2025-08-02
Créa UGC Bundle Complet - Tom,Bundle Complet,Tom Brown,UGC,Éducation,Boostez votre immunité,Novembre 2025,En pause,520.81,149,515.60,0.99,3.50,255312,7532,2.95,2025-11-22
Créa UGC AG1 Powder - Emma,AG1 Powder,Emma Wilson,UGC,Testimonial,Parfait pour voyager,Octobre 2025,En pause,2618.05,16,8665.75,3.31,163.63,108588,2650,2.44,2025-10-14
Créa Image statique AG1 Travel Packs - Marie,AG1 Travel Packs,Marie Dubois,Image statique,Convenience,Le meilleur rapport qualité-prix,Septembre 2025,Archivée,2586.86,98,5510.01,2.13,26.40,185492,6307,3.40,2025-09-03
Créa UGC Abonnement - Sophie,Abonnement,Sophie Martin,UGC,Testimonial,Emportez AG1 partout,Septembre 2025,En pause,1127.96,25,3507.96,3.11,45.12,252857,9305,3.68,2025-09-25
Créa Motion/Vidéo Abonnement - Julie,Abonnement,Julie Bernard,Motion/Vidéo,Convenience,Mon cœur me remercie,Octobre 2025,Archivée,1258.70,93,2114.62,1.68,13.53,283122,9230,3.26,2025-10-07
Créa Image statique AG1 Powder - Anna,AG1 Powder,Anna Schmidt,Image statique,Accessoire,Boostez votre immunité,Août 2025,Archivée,1441.64,72,4483.50,3.11,20.02,177660,5987,3.37,2025-08-25
Créa Témoignage AG1 Powder - Camille,AG1 Powder,Camille Rousseau,Témoignage,Santé,Le shaker qui change tout,Juillet 2025,En ligne,1605.05,148,4494.14,2.80,10.84,125346,3472,2.77,2025-07-12
Créa Témoignage AG1 Powder - Emma,AG1 Powder,Emma Wilson,Témoignage,Testimonial,Ma transformation en 2 mois,Juillet 2025,En pause,2421.16,98,7529.81,3.11,24.71,283571,8677,3.06,2025-07-13
Créa UGC Omega-3 - Sophie,Omega-3,Sophie Martin,UGC,Convenience,Boostez votre immunité,Novembre 2025,Archivée,1179.03,92,1273.35,1.08,12.82,80888,2605,3.22,2025-11-07
Créa Motion/Vidéo Vitamine D3+K2 - Paul,Vitamine D3+K2,Paul Martinez,Motion/Vidéo,Convenience,Économisez avec le bundle,Juillet 2025,Archivée,809.33,56,1723.87,2.13,14.45,68267,2130,3.12,2025-07-25
Créa Podcast Vitamine D3+K2 - Sarah,Vitamine D3+K2,Sarah Martin,Podcast,Accessoire,Ma transformation en 2 mois,Juillet 2025,En pause,2427.42,56,4757.74,1.96,43.35,233958,4726,2.02,2025-07-20
Créa Image statique AG1 Travel Packs - Marie,AG1 Travel Packs,Marie Dubois,Image statique,Santé,Mon expérience avec Omega-3,Août 2025,Archivée,1349.75,78,2227.09,1.65,17.30,224309,6729,3.00,2025-08-22
Créa UGC AG1 Powder - Alex,AG1 Powder,Alex Johnson,UGC,Éducation,Parfait pour voyager,Septembre 2025,Archivée,1787.18,36,6237.26,3.49,49.64,205389,4991,2.43,2025-09-24
Créa Témoignage Omega-3 - Julie,Omega-3,Julie Bernard,Témoignage,Testimonial,Je bois AG1 depuis 3 mois,Août 2025,Arrêtée,740.98,39,778.03,1.05,19.00,230560,6294,2.73,2025-08-09
Créa Témoignage Omega-3 - Emma,Omega-3,Emma Wilson,Témoignage,Santé,Mon cœur me remercie,Août 2025,En ligne,2803.32,55,7344.70,2.62,50.97,289309,11254,3.89,2025-08-19
Créa Motion/Vidéo Shaker - Sarah,Shaker,Sarah Martin,Motion/Vidéo,Accessoire,Mon cœur me remercie,Septembre 2025,En ligne,1338.93,94,3668.67,2.74,14.24,204699,7922,3.87,2025-09-13
Créa Image statique AG1 Powder - Camille,AG1 Powder,Camille Rousseau,Image statique,Santé,Le meilleur rapport qualité-prix,Octobre 2025,Arrêtée,796.16,101,1855.05,2.33,7.88,211566,4760,2.25,2025-10-22
Créa Motion/Vidéo AG1 Travel Packs - Julie,AG1 Travel Packs,Julie Bernard,Motion/Vidéo,Accessoire,Je bois AG1 depuis 3 mois,Août 2025,Arrêtée,2545.11,143,8577.02,3.37,17.80,251368,9376,3.73,2025-08-22
Créa Podcast Vitamine D3+K2 - Marc,Vitamine D3+K2,Marc Petit,Podcast,Santé,Emportez AG1 partout,Juillet 2025,En pause,2271.80,52,1181.34,0.52,43.69,190974,4545,2.38,2025-07-13
Créa Podcast Vitamine D3+K2 - Claire,Vitamine D3+K2,Claire Anderson,Podcast,Éducation,Boostez votre immunité,Octobre 2025,Archivée,2881.79,47,8184.28,2.84,61.31,270712,7472,2.76,2025-10-22
Créa Podcast Omega-3 - David,Omega-3,David Chen,Podcast,Convenience,Mon cœur me remercie,Octobre 2025,En pause,2408.48,86,4624.28,1.92,28.01,124740,3518,2.82,2025-10-26
Créa Image statique Abonnement - Alex,Abonnement,Alex Johnson,Image statique,Éducation,Le shaker qui change tout,Septembre 2025,En ligne,2447.85,54,5776.93,2.36,45.33,219338,5878,2.68,2025-09-21
Créa Podcast Vitamine D3+K2 - Camille,Vitamine D3+K2,Camille Rousseau,Podcast,Valeur,N'oubliez plus jamais,Juillet 2025,Archivée,630.57,70,479.23,0.76,9.01,298106,8347,2.80,2025-07-10
Créa Image statique Abonnement - Kevin,Abonnement,Kevin Taylor,Image statique,Valeur,Mon cœur me remercie,Août 2025,Archivée,1272.17,109,3702.01,2.91,11.67,156254,4422,2.83,2025-08-03
Créa Image statique AG1 Powder - Camille,AG1 Powder,Camille Rousseau,Image statique,Valeur,Ne manquez jamais votre dose,Septembre 2025,En pause,1999.53,111,5658.67,2.83,18.01,138625,3036,2.19,2025-09-09
Créa UGC Shaker - Marie,Shaker,Marie Dubois,UGC,Santé,N'oubliez plus jamais,Octobre 2025,Archivée,2199.68,22,5257.24,2.39,99.99,195525,4556,2.33,2025-10-05
Créa Podcast AG1 Travel Packs - Laura,AG1 Travel Packs,Laura Davis,Podcast,Testimonial,Parfait pour voyager,Novembre 2025,En pause,977.46,83,1691.01,1.73,11.78,81334,2033,2.50,2025-11-10
Créa UGC Omega-3 - Marc,Omega-3,Marc Petit,UGC,Éducation,Le shaker qui change tout,Novembre 2025,En pause,906.79,123,1722.90,1.90,7.37,157673,3343,2.12,2025-11-09
Créa Podcast Omega-3 - Claire,Omega-3,Claire Anderson,Podcast,Convenience,L'importance d'un bon mélange,Novembre 2025,En pause,1036.03,133,611.26,0.59,7.79,99374,3627,3.65,2025-11-01
Créa UGC AG1 Travel Packs - Kevin,AG1 Travel Packs,Kevin Taylor,UGC,Accessoire,Ma transformation en 2 mois,Septembre 2025,Arrêtée,2742.02,56,6142.12,2.24,48.96,281864,10203,3.62,2025-09-04
Créa Témoignage Bundle Complet - Dr.,Bundle Complet,Dr. James Smith,Témoignage,Accessoire,Emportez AG1 partout,Novembre 2025,Arrêtée,587.04,62,1702.42,2.90,9.47,100586,3480,3.46,2025-11-03
Créa Image statique Bundle Complet - Marie,Bundle Complet,Marie Dubois,Image statique,Valeur,Pourquoi les nutritionnistes recommandent AG1,Juillet 2025,En pause,845.08,19,2653.55,3.14,44.48,120472,4084,3.39,2025-07-15
Créa Podcast Shaker - Anna,Shaker,Anna Schmidt,Podcast,Testimonial,Ma transformation en 2 mois,Septembre 2025,En pause,1575.58,65,3151.16,2.00,24.24,207888,7900,3.80,2025-09-16
Créa Témoignage Abonnement - Emma,Abonnement,Emma Wilson,Témoignage,Santé,Ne manquez jamais votre dose,Août 2025,En ligne,1000.89,27,780.69,0.78,37.07,100992,2949,2.92,2025-08-05
Créa UGC Omega-3 - Dr.,Omega-3,Dr. Robert White,UGC,Éducation,Le shaker qui change tout,Septembre 2025,Arrêtée,2997.88,22,2698.09,0.90,136.27,201232,4467,2.22,2025-09-26
Créa Image statique Abonnement - Dr.,Abonnement,Dr. James Smith,Image statique,Valeur,Le meilleur rapport qualité-prix,Août 2025,Arrêtée,2124.37,85,2230.59,1.05,24.99,163039,4076,2.50,2025-08-24
Créa Motion/Vidéo Shaker - Alex,Shaker,Alex Johnson,Motion/Vidéo,Testimonial,Le shaker qui change tout,Août 2025,En pause,1668.52,36,3770.86,2.26,46.35,276309,7350,2.66,2025-08-07
Créa Témoignage AG1 Travel Packs - Sarah,AG1 Travel Packs,Sarah Martin,Témoignage,Valeur,Pourquoi les nutritionnistes recommandent AG1,Août 2025,En pause,1556.94,33,1868.33,1.20,47.18,278449,7128,2.56,2025-08-14
Créa Podcast Bundle Complet - Dr.,Bundle Complet,Dr. James Smith,Podcast,Testimonial,Mon expérience avec Omega-3,Août 2025,En pause,1257.69,57,3018.46,2.40,22.06,158574,3853,2.43,2025-08-26
Créa Motion/Vidéo AG1 Powder - Marc,AG1 Powder,Marc Petit,Motion/Vidéo,Testimonial,L'importance d'un bon mélange,Août 2025,Archivée,1463.35,149,1477.98,1.01,9.82,143073,3935,2.75,2025-08-18
Créa Motion/Vidéo Omega-3 - Camille,Omega-3,Camille Rousseau,Motion/Vidéo,Accessoire,N'oubliez plus jamais,Juillet 2025,En pause,955.97,74,525.78,0.55,12.92,98268,2948,3.00,2025-07-22
Créa UGC Vitamine D3+K2 - Emma,Vitamine D3+K2,Emma Wilson,UGC,Testimonial,Essentiel en hiver,Août 2025,En pause,605.74,16,1120.62,1.85,37.86,264599,6985,2.64,2025-08-19
Créa Image statique Omega-3 - Laura,Omega-3,Laura Davis,Image statique,Valeur,Économisez avec le bundle,Août 2025,En ligne,2333.56,115,7467.39,3.20,20.29,110671,3088,2.79,2025-08-12
Créa Image statique Shaker - Kevin,Shaker,Kevin Taylor,Image statique,Testimonial,Parfait pour voyager,Octobre 2025,Arrêtée,1665.31,137,2414.70,1.45,12.16,96600,3671,3.80,2025-10-03
Créa Image statique Shaker - David,Shaker,David Chen,Image statique,Testimonial,Je bois AG1 depuis 3 mois,Août 2025,En ligne,644.95,99,425.67,0.66,6.51,243672,6969,2.86,2025-08-02
Créa UGC Abonnement - Marc,Abonnement,Marc Petit,UGC,Testimonial,Essentiel en hiver,Juillet 2025,En pause,1375.34,141,4194.79,3.05,9.75,187047,5630,3.01,2025-07-27
Créa Motion/Vidéo Omega-3 - Alex,Omega-3,Alex Johnson,Motion/Vidéo,Testimonial,Ne manquez jamais votre dose,Septembre 2025,En pause,1857.87,18,3585.69,1.93,103.21,69155,1535,2.22,2025-09-15
Créa Motion/Vidéo AG1 Powder - Emma,AG1 Powder,Emma Wilson,Motion/Vidéo,Éducation,Mon expérience avec Omega-3,Septembre 2025,Archivée,2869.06,22,4131.45,1.44,130.41,226224,6606,2.92,2025-09-14
Créa Image statique Shaker - Tom,Shaker,Tom Brown,Image statique,Santé,L'importance d'un bon mélange,Septembre 2025,En ligne,2701.10,24,5105.08,1.89,112.55,283266,10113,3.57,2025-09-12
Créa UGC Bundle Complet - Marc,Bundle Complet,Marc Petit,UGC,Testimonial,Boostez votre immunité,Août 2025,Arrêtée,1235.27,144,2606.42,2.11,8.58,217395,7739,3.56,2025-08-18
Créa Podcast Vitamine D3+K2 - Marie,Vitamine D3+K2,Marie Dubois,Podcast,Éducation,Je bois AG1 depuis 3 mois,Juillet 2025,En pause,838.03,84,1282.19,1.53,9.98,271592,7795,2.87,2025-07-07
Créa Podcast AG1 Travel Packs - Dr.,AG1 Travel Packs,Dr. James Smith,Podcast,Convenience,L'importance d'un bon mélange,Octobre 2025,Arrêtée,1247.28,19,1970.70,1.58,65.65,51635,1668,3.23,2025-10-02
Créa Motion/Vidéo AG1 Powder - Lisa,AG1 Powder,Lisa Garcia,Motion/Vidéo,Accessoire,Parfait pour voyager,Septembre 2025,Archivée,2789.70,82,5551.50,1.99,34.02,270653,6631,2.45,2025-09-18
Créa UGC AG1 Travel Packs - David,AG1 Travel Packs,David Chen,UGC,Convenience,Je bois AG1 depuis 3 mois,Septembre 2025,Arrêtée,944.85,24,557.46,0.59,39.37,264688,9793,3.70,2025-09-24
Créa Motion/Vidéo Vitamine D3+K2 - Julie,Vitamine D3+K2,Julie Bernard,Motion/Vidéo,Valeur,Ma transformation en 2 mois,Juillet 2025,Arrêtée,2068.45,133,6308.77,3.05,15.55,166231,6466,3.89,2025-07-11
Créa Motion/Vidéo AG1 Powder - Dr.,AG1 Powder,Dr. James Smith,Motion/Vidéo,Accessoire,Parfait pour voyager,Août 2025,Archivée,2819.07,18,9810.36,3.48,156.62,223989,4704,2.10,2025-08-18
Créa Image statique AG1 Powder - Camille,AG1 Powder,Camille Rousseau,Image statique,Convenience,Le meilleur rapport qualité-prix,Juillet 2025,En pause,1444.25,138,3538.41,2.45,10.47,241299,5671,2.35,2025-07-12
Créa Podcast Abonnement - Claire,Abonnement,Claire Anderson,Podcast,Éducation,Le meilleur rapport qualité-prix,Novembre 2025,En pause,1808.16,104,3507.83,1.94,17.39,127698,4457,3.49,2025-11-08
Créa Podcast AG1 Travel Packs - David,AG1 Travel Packs,David Chen,Podcast,Éducation,N'oubliez plus jamais,Septembre 2025,En pause,1358.34,30,3762.60,2.77,45.28,289496,6340,2.19,2025-09-04
